"unigram","bigram","trigram","quadgram","freq"
"twitter","dab","picture","comes",16
"twitter","specials","might","good",16
"u","quit","somebody","else",16
"u","say","stuff","like",16
"u","ur","ability","bless",16
"ur","ability","bless","others",16
"various","wonderful","orange","scraps",16
"ve","brought","bottle","rockets",16
"vegas","right","now","looking",16
"vs","odonnellppl","delaware","ashamed",16
"w","veronique","learning","stuff",16
"waiting","invite","can","finally",16
"want","go","lake","rt",16
"water","gives","sexy","belches",16
"weather","makes","want","go",16
"week","cash","games","bellagio",16
"week","check","daily","gift",16
"whistles","even","cow","bell",16
"will","live","ur","dream",16
"wonderful","orange","scraps","michelle",16
"wonders","wise","man","asks",16
"woodland","friends","ellen","crimitrent",16
"work","changing","world","changes",16
"work","together","smother","sleep",16
"writers","block","take","hold",16
"yardage","approximately","fq","size",16
"yeah","fizzy","water","gives",16
"year","get","now","save",16
"yes","just","called","austin",16
"young","michael","miller","metro",16
"zippy","jenn","skililla","rogers",16
"access","fantasy","football","league",15
"acrl","conference","us","thought",15
"add","experience","watch","ur",15
"adhd","shit","mad","real",15
"alanis","morissette","needless","say",15
"almost","inseparable","quickly","became",15
"along","way","well","truly",15
"already","star","marshall","quick",15
"alshon","jeffery","already","star",15
"also","sets","arista","j",15
"always","hold","special","place",15
"always","remembered","negus","malcolm",15
"always","top","list","best",15
"american","life","live","last",15
"anniversary","assasination","will","always",15
"another","part","body","obscene",15
"ar","family","pleased","welcome",15
"arista","j","jive","details",15
"assasination","will","always","remembered",15
"attendees","access","fantasy","football",15
"author","shadowed","summer","wednesday",15
"back","nowadays","get","see",15
"back","really","enjoyed","years",15
"bad","fans","demand","something",15
"barstow","location","scout","barstow",15
"barstow","rather","disneyland","kids",15
"bears","alshon","jeffery","already",15
"became","one","dearest","friends",15
"becks","mouth","another","part",15
"becuz","obviously","rising","star",15
"best","kind","comin","tomorrow",15
"bieber","hilary","swank","scene",15
"big","one","centralfl","beach",15
"blessed","met","line","nd",15
"boys","typically","dare","challenge",15
"bring","daughter","today","first",15
"buzz","tonight","pm","get",15
"call","back","nowadays","get",15
"call","fans","iconiacz","u",15
"cam","add","experience","watch",15
"camera","frys","selling","ebay",15
"can","give","sharpened","palate",15
"cause","now","job","spoil",15
"centralfl","beach","frequent","summer",15
"change","rd","string","talent",15
"chaos","starts","might","take",15
"chapter","life","often","say",15
"chris","rock","columbus","oh",15
"collaboration","innovation","led","consumers",15
"columbus","oh","leaving","ttun",15
"concession","stand","delivery","seats",15
"conference","us","thought","controversial",15
"congrats","th","follower","go",15
